address,availabilityStarts,description,image,latitude,longitude,name,numberOfRooms,price,url,floor,area_living,area_total,ceiling_height,floor_count,price_sqm,id,built_year,area_kitchen,room_count
"27, вул. Педагогічна, Середній Фонтан, Приморський, Одеса",2023-06-11T19:43:00+00:00,"Сдам 1 кв  пер Клубничный ""Красная шапочка"" - 4/10 эт 39 м студия большой балкон. Вся техника кондиционер два дивана ванна. 7000 грн ПОСРЕДНИК",https://lunappimg.appspot.com/lun-ua/414/336/images-cropped/973728240.webp,46.428939,30.75453,"вул. Педагогічна, 27",1,7000 UAH,https://flatfy.ua/uk/realty/440242891,4,20,39,2.7,10,179,440242891,2000,12,1
"8а, вул. Варненська, Черемушки, Малиновський, Одеса",2023-06-11T17:53:01+00:00,Сдам 3-ком. квартиру на ул. Варненская напротив парка Горького. Второй ряд домов вдали от дороги. Восточная сторона. Чистая парадная. Гостиная и две раздельные комнаты. Ванна. Балкон. 4/5 эт. В квартире холодильник новый большойпосуда стиральная машина...,https://lunappimg.appspot.com/lun-ua/414/336/images-cropped/973726028.webp,46.425893,30.715574,"вул. Варненська, 8а",3,6000 UAH,https://flatfy.ua/uk/realty/440115866,4,35,50,2.5,5,120,440115866,,6,3
"28, вул. Героїв Крут (Валентини Терешкової), Черемушки, Малиновський, Одеса",2023-06-11T14:46:01+00:00,Сдам 1-комн в коммуне Крут ( Терешковой) 4/5 .12 кв.м.. Комната с ремонтом и хорошей мебелью. Бойлер стиральная машина. шкаф- купе 2-спальная кровать и др,https://lunappimg.appspot.com/lun-ua/414/336/images-cropped/973722142.webp,46.434849,30.71266,"вул. Героїв Крут (Валентини Терешкової), 28",1,2000 UAH,https://flatfy.ua/uk/realty/439928102,4,12,100,2.5,5,20,439928102,,12,1
"49/1, дор. Фонтанська, Середній Фонтан, Приморський, Одеса",2023-06-11T13:05:01+00:00,Сдается кухня-гостиная и спальня 6.5 ст.Фонтана /жк «Подкова» Новый кирпичный дом Общая площадь 70 м² 12 этаж/15. Квартира двухсторонняя. Укомплектована мебелью и техникой. 2 кондиционера плазма. Лоджия Охраняемая территория. Детская площадка. Парковка...,https://lunappimg.appspot.com/lun-ua/414/336/images-cropped/973720196.webp,46.432341,30.75011,"дор. Фонтанська, 49/1",1,10000 UAH,https://flatfy.ua/uk/realty/439816268,12,22,70,3,15,143,439816268,2006,25,1
"вул. Троїцька, Центр, Приморський, Одеса",2023-06-11T12:52:00+00:00,Сдам 1 к. кв-студию ГЕНЕРАТОР ЖК Капитан/ ул. Базарная - 18/эт общая пл. 42 м студияПАРК ШЕВЧЕНКА Центр кухонная зона с диваном и спальная зона с кроватью в алькове вся мебель техника. Красивый вид на город ухоженная территория на чипе консьерж...,https://lunappimg.appspot.com/lun-ua/414/336/images-cropped/973719933.webp,46.4728154904762,30.7507229666667,вул. Троїцька,1,6000 UAH,https://flatfy.ua/uk/realty/404533363,1,15,30,,2,200,404533363,,15,1
"162/1, вул. Костанді, Таїрова, Київський, Одеса",2023-06-11T12:06:00+00:00,Аренда 2 комнатной квартиры по ул. Костанди ЖК Вернисаж Квартира в белых тонах Студия и 2 отдельных спальни большая гардеробная Комфортная укомплектована Есть все: посуда микроволновка домофон. 3 полноценные кровати интернет оптоволокно Рядом супермаркеты...,https://lunappimg.appspot.com/lun-ua/414/336/images-cropped/973719035.webp,46.404412,30.718846,"вул. Костанді, 162/1",2,400 USD,https://flatfy.ua/uk/realty/439761630,14,35,55,2.7,14,7,439761630,2016,16,2
"вул. Асташкіна, Центр, Приморський, Одеса",2023-06-11T11:47:00+00:00,Сдам 2 комнатную квартиру в центре район ул. Асташкина. Закрытый двор.Центр Города Квартира с мебелью и бытовой техникой .,https://lunappimg.appspot.com/lun-ua/414/336/images-cropped/973718605.webp,46.477765,30.723757,вул. Асташкіна,2,10000 UAH,https://flatfy.ua/uk/realty/398347013,1,25,70,,5,143,398347013,,15,2
"23, вул. Педагогічна, Середній Фонтан, Приморський, Одеса",2023-06-11T11:25:09+00:00,Аренда квартиры в Аркадии с видом моря Закрытая территория с охраной и косьержем Панорамный вид моря В шаговой доступности супермаркеты Копейка Обжора АТБ Сельпо Обжора продуктовый рынок тренажерный зал кафе и прочее Рядом парк Юность трасса здоровья...,https://lunappimg.appspot.com/lun-ua/414/336/images-cropped/973713782.webp,46.431454,30.753211,"вул. Педагогічна, 23",2,15000 UAH,https://flatfy.ua/uk/realty/439737128,23,18,50,2.85,25,300,439737128,2019,16,2
"Приморський, Одеса",2023-06-11T11:20:33+00:00,Долгострочно сдается квартира от хозяина. Район музкомедии 12 этаж. Два лифта. Ремонт бытовая техника вай-фай. Хорошая транспортная развязка близость моря. Предпочтение студенты или одинокие работающие девушки/парни. Без домашних животных.Оплата...,https://lunappimg.appspot.com/lun-ua/414/336/images-cropped/973713346.webp,no_data_get,no_data_get,Сдам двухкомнатную квартиру р-н Музкомедии,2,5000 UAH,https://flatfy.ua/uk/realty/439175912,12,,80,,14,62,439175912,,17,2
"вул. Філатова, Черемушки, Малиновський, Одеса",2023-06-11T11:20:33+00:00,Сдам 3-комнатную квартиру на Черемушках  ул.Ак.Филатова в районе Дома Мебели. Квартира в жилом состоянии . Есть стиральная машинка бойлер  холодильник газовая плита.,https://lunappimg.appspot.com/lun-ua/414/336/images-cropped/973713329.webp,46.43676,30.716804,вул. Філатова,3,5000 UAH,https://flatfy.ua/uk/realty/439175956,1,,55,,9,91,439175956,,6,3
"Таїрова, Київський, Одеса",2023-06-11T11:20:31+00:00,Сдам отличную смарт квартиру в Радужном17 тех этаж камуналка копеешнаяв квартире есть всё для комфортного проживанияесть балкон. 5000 Залог Комиссия риелтора,https://lunappimg.appspot.com/lun-ua/414/336/images-cropped/973713126.webp,no_data_get,no_data_get,ЖК Радужный Таирова смарт квартира 5000,1,5000 UAH,https://flatfy.ua/uk/realty/439175562,17,,24,,17,208,439175562,,20,1
"вул. Малиновського, Малиновський, Одеса",2023-06-11T11:20:31+00:00,Сдам 2комнптную квартиру на Малиновского гайдара.2этаж.есть всё необходимое для комфортного проживания.стиральная машина кондиционер бойлер.комнаты раздельные,https://lunappimg.appspot.com/lun-ua/414/336/images-cropped/973713230.webp,46.444094,30.711935,вул. Малиновського,2,5000 UAH,https://flatfy.ua/uk/realty/439175649,2,,44,,5,114,439175649,,6,2
"35, вул. Бочарова, селище Котовського, Суворовський, Одеса",2023-06-11T11:20:29+00:00,Сдаётся просторная 1 ком квартира с кап ремонт на Бочарова 35. В квартире сделан качественный ремонт. Установлена вся необходимая мебель и техника. Без животных и детей 5000+коммунальные услуги 06******49,https://lunappimg.appspot.com/lun-ua/414/336/images-cropped/973713064.webp,46.583268,30.798139,"вул. Бочарова, 35",1,5000 UAH,https://flatfy.ua/uk/realty/439175399,4,,32,2.6,9,156,439175399,1982,9,1
"Київський, Одеса",2023-06-11T11:20:22+00:00,Хорошее состояние все есть для удобной и комфортной жизни. Звоните все расскажу. Удобное местонахождение и прекрасная развязка.,https://lunappimg.appspot.com/lun-ua/414/336/images-cropped/973712957.webp,no_data_get,no_data_get,Сдам однокомнатную квартиру на вузовском.,1,5000 UAH,https://flatfy.ua/uk/realty/439175248,5,,35,,9,143,439175248,,9,1
"Люстдорфська дор., Черемушки, Малиновський, Одеса",2023-06-11T11:20:22+00:00,Сдам 1 ком квартиру ул. Люстдорфская Дорога/ ЮЗМ 5/5 32/18/6 МПО балкон окна во двор. Квартира укомплектована необходимой мебелью и техникой. Хорошее состояние. 5000 гр. сдается длительно для одного или двух без животных.,https://lunappimg.appspot.com/lun-ua/414/336/images-cropped/973712980.webp,46.418727,30.726243,Люстдорфська дор.,1,5000 UAH,https://flatfy.ua/uk/realty/439175250,5,,32,,5,156,439175250,,6,1
"вул. Миколи Боровського, Малиновський, Одеса",2023-06-11T11:20:16+00:00,Сдаю квартиру ул Боровского ЖК золотые столбы 1/17 Первая сдача От риэлтора,https://lunappimg.appspot.com/lun-ua/414/336/images-cropped/973712826.webp,46.480236260336,30.671311565072,вул. Миколи Боровського,1,4999 UAH,https://flatfy.ua/uk/realty/439175105,2,,30,,4,167,439175105,,6,1
"вул. Преображенська (Радянської Армії), Центр, Приморський, Одеса",2023-06-11T11:20:16+00:00,СРОЧНО 2 комнтаты УСПЕНСКАЯ/Преображенская своя кухня и сан узел ЖИВОТНЫМИ небольшими своя кухня и сан узел общий коридор с приличными соседями не пиши к звоните сейчас 06******20.,https://lunappimg.appspot.com/lun-ua/414/336/images-cropped/973712839.webp,46.479974,30.731995,вул. Преображенська (Радянської Армії),2,4999 UAH,https://flatfy.ua/uk/realty/439175125,3,,45,,4,111,439175125,,8,2
"Суворовський, Одеса",2023-06-11T11:19:56+00:00,Смарт квартира22кв.мновая в новом домев квартире есть всёрядом море Куяльницкий лимансдаю на долгий срок4000гнн в месяц,https://lunappimg.appspot.com/lun-ua/414/336/images-cropped/973712510.webp,no_data_get,no_data_get,"Сдам смарт квартиру в Лузановке(Одесса)4000грн.,новая в новом доме,",1,4000 UAH,https://flatfy.ua/uk/realty/439174498,6,,22,,6,182,439174498,,5,1
"44/2, вул. Вільямса, Таїрова, Київський, Одеса",2023-06-11T11:19:55+00:00,Сдам Вильямса 44/2 угол Офицерской 1но комнатную квартиру1этаж 9этажного домадва диванахолодильникмашинка автоматбойлершкафсанузел раздельныймпоцена 4.000грн,https://lunappimg.appspot.com/lun-ua/414/336/images-cropped/973712406.webp,46.392167,30.733095,"вул. Вільямса, 44/2",1,4000 UAH,https://flatfy.ua/uk/realty/394146089,1,,35,2.6,9,114,394146089,,8,1
